Ano	Gleba	broca	grupo_infestacao	amb_prod	variedade	vinhaca	solo	tch	fazenda	data_plantio	data_avaliacao	chuva	tmed	ur	etp	rad
2012	1760	5.77	MUITOALTO	D	RB855156	0	LVE.5	87.6	APARECIDA	29/04/2011	25/05/2012	1326.3	22.20615776	67.06984733	1406.07	7144.84
2012	1756	4.7	MUITOALTO	A	RB855156	0	LR.1	114	APARECIDA	07/11/2011	19/11/2012	1477.7	22.68461741	67.94707124	1393.25	6829.1
2012	1762	4.58	MUITOALTO	B	RB855156	0	LR.2	96.25	APARECIDA	07/11/2011	25/05/2012	1046.8	23.46179104	71.8441791	780.7	3808.55
2012	1265	4.23	MUITOALTO	A	RB855453	294	LR.1	90.29	APARECIDA	20/05/2011	11/06/2012	1357.2	22.20290488	67.41023136	1381.91	6999.53
2012	1749	4.16	MUITOALTO	B	RB855156	599.9	LVA.2	90.73	APARECIDA	24/04/2011	21/05/2012	1334.8	22.23220812	67.12928934	1408.47	7147.57
2012	1697	4.09	MUITOALTO	B	RB855156	685.3	LR.2	115.05	APARECIDA	06/07/2011	17/05/2012	1275.3	23.01801262	66.41684543	1223.32	5995.93
2012	1696	4	MUITOALTO	B	RB855453	125.6	LR.2	75.19	APARECIDA	06/07/2011	17/05/2012	1275.3	23.01801262	66.41684543	1223.32	5995.93
2012	1708	3.98	MUITOALTO	A	SP89-1115	0	LR.1	57.75	APARECIDA	01/07/2011	30/07/2012	1451.1	22.26680556	67.68914141	1398.27	7046.21
2012	1777	3.98	MUITOALTO	A	RB855453	305.2	LR.1	119.24	APARECIDA	08/09/2011	11/06/2012	1296.9	23.19881295	69.65057554	1074.83	5218.32
2012	1717	3.69	MUITOALTO	A	RB855453	329.7	LR.1	98.67	APARECIDA	01/07/2011	06/05/2012	1204	23.09434084	66.23797428	1208.79	5919.61
2012	1268	3.59	MUITOALTO	A	CTC9	0	LR.1	82.24	APARECIDA	23/05/2011	28/04/2012	1181.3	22.6075731	66.24640351	1277.32	6393.61
2012	1719	3.57	MUITOALTO	A	RB925345	403.9	LR.1	104.73	APARECIDA	01/07/2011	07/05/2012	1204	23.08671474	66.22141026	1212.03	5937.34
2012	1722	3.55	MUITOALTO	A	RB855453	1222.2	LR.1	98.57	APARECIDA	08/05/2011	06/05/2012	1247.1	22.41316438	66.58191781	1337.65	6745.55
2012	1733	3.28	MUITOALTO	B	RB855453	735	LR.2	86.27	APARECIDA	01/05/2011	11/06/2012	1373.4	22.11377451	67.64242647	1432.85	7301.95
2012	1718	3.25	MUITOALTO	A	VIV.EXP.	614.6	LR.1	98.66	APARECIDA	01/07/2011	07/05/2012	1204	23.08671474	66.22141026	1212.03	5937.34
2012	1730	3.11	MUITOALTO	B	SP89-1115	0	TRE.2	119.7	APARECIDA	20/05/2011	23/11/2012	1741	22.1723917	65.65561372	1982.5	9923.47
2012	1702	3.09	MUITOALTO	A	SP89-1115	0	LR.1	68.91	APARECIDA	01/07/2011	17/07/2012	1451.1	22.36011749	67.91193211	1363.56	6840.35
2012	1703	3.06	MUITOALTO	A	SP91-1049	0	LR.1	65.4	APARECIDA	01/07/2011	01/08/2012	1451.1	22.25319095	67.66690955	1404.3	7077.23
2012	1775	2.87	MUITOALTO	B	SP89-1115	0	LR.2	80.19	APARECIDA	29/07/2011	18/11/2012	1663.5	22.64104384	65.69189979	1791.32	8748.45
2012	1725	2.84	MUITOALTO	B	SP89-1115	0	TRE.2	120.66	APARECIDA	10/04/2011	23/11/2012	1829.4	22.13558923	66.16550505	2098.37	10576.71
2012	1728	2.82	MUITOALTO	A	SP89-1115	0	LR.1	83.21	APARECIDA	30/04/2011	18/09/2012	1500.5	21.80607283	66.33364173	1742.46	8935.11
2012	1736	2.81	MUITOALTO	B	RB855453	1276.8	LVE.2	82.11	APARECIDA	16/05/2011	11/06/2012	1357.2	22.15491094	67.45801527	1391.68	7064.5
2012	1727	2.75	MUITOALTO	B	RB855453	0	LVE.2	83.51	APARECIDA	15/05/2011	28/09/2012	1561.2	21.80237575	66.22343936	1734.59	8848.89
2012	1701	2.74	MUITOALTO	A	SP91-1049	0	LR.1	72.97	APARECIDA	06/07/2011	01/08/2012	1451.1	22.28748092	67.58600509	1394.21	7016.16
2012	1764	2.73	MUITOALTO	A	SP91-1049	0	TRE.4	82.48	APARECIDA	19/08/2011	09/08/2012	1430.4	22.47508403	68.4792437	1294.19	6442.62
2012	1672	2.71	MUITOALTO	A	SP80-1816	1524.8	LR.1	70.28	APARECIDA	09/11/2011	26/06/2012	1188	22.95770563	73.00930736	836.7	4149.02
2012	1670	2.69	MUITOALTO	A	SP80-1816	564	LVE.1	70.21	APARECIDA	15/05/2011	26/06/2012	1461.2	22.06007335	67.86596577	1424.6	7259.89
2012	1757	2.68	MUITOALTO	B	SP91-1049	0	LR.2	73.35	APARECIDA	23/04/2011	17/10/2012	1602.2	21.87067096	66.09121324	1881.54	9568.15
2012	1772	2.68	MUITOALTO	B	RB867515	0	LR.2	86.54	APARECIDA	29/07/2011	10/09/2012	1451.1	22.32343902	66.47904878	1486.66	7404.46
2012	1270	2.66	MUITOALTO	A	CTC20	0	LVE.1	132.67	APARECIDA	18/05/2011	13/09/2012	1484.3	21.80201031	66.28791753	1669.22	8545.61
2012	1732	2.66	MUITOALTO	B	RB925345	0	TRE.2	101.37	APARECIDA	16/05/2011	01/10/2012	1551.3	21.80262376	66.08154455	1746.42	8904.95
2012	1759	2.62	ALTO	D	SP91-1049	0	LVE.6	74.4	APARECIDA	12/05/2011	17/10/2012	1585.8	21.89205714	65.8239619	1830.5	9282.54
2012	1678	2.61	ALTO	B	IAC87-3396	929.6	LR.2	72.93	APARECIDA	20/05/2011	23/06/2012	1451.3	22.13119701	67.73291771	1405.29	7137.34
2012	1779	2.61	ALTO	A	RB855453	742	LR.1	109.27	APARECIDA	07/11/2011	11/06/2012	1093.9	23.17905963	72.5933945	813.73	4003.25
2012	1286	2.59	ALTO	B	RB966928	0	LR.2	89.88	APARECIDA	20/05/2011	13/09/2012	1484.3	21.82092133	66.27322981	1664.48	8513.65
2012	1761	2.59	ALTO	D	SP91-1049	0	LVE.6	63.76	APARECIDA	07/11/2011	17/10/2012	1312.6	22.40971098	68.15384393	1241.65	6159.99
2012	1776	2.58	ALTO	B	DIVERSAS	0	LR.2	80.14	APARECIDA	29/07/2011	18/11/2012	1663.5	22.64104384	65.69189979	1791.32	8748.45
2012	1726	2.57	ALTO	A	RB925345	0	LR.1	109.92	APARECIDA	20/05/2011	23/11/2012	1741	22.1723917	65.65561372	1982.5	9923.47
2012	1292	2.49	ALTO	A	RB855156	0	LR.1	95.14	APARECIDA	25/04/2011	02/08/2012	1510.6	21.77048283	67.96418455	1569.28	8104.96
2012	1679	2.47	ALTO	A	SP80-1816	1591.8	LR.1	70.34	APARECIDA	05/08/2011	26/06/2012	1397.4	22.89633028	68.31033639	1229.05	6034.81
2012	1285	2.43	ALTO	A	SP91-1049	0	LR.1	87.17	APARECIDA	23/04/2011	26/08/2012	1510.6	21.7201626	67.26623984	1664.44	8581.39
2012	1773	2.43	ALTO	B	RB855453	0	LR.2	79.99	APARECIDA	25/07/2011	18/06/2012	1324	22.87236364	67.76939394	1243.75	6106.65
2012	1674	2.39	ALTO	A	SP80-1816	1628.9	LR.1	66.92	APARECIDA	20/05/2011	25/06/2012	1451.3	22.11681141	67.7944665	1409.62	7164.28
2012	1677	2.39	ALTO	B	SP87-365	892.8	LR.2	62.85	APARECIDA	15/05/2011	23/06/2012	1461.2	22.08263547	67.78938424	1417.87	7217.82
2012	1280	2.37	ALTO	B	CTC7	0	LR.2	92.45	APARECIDA	23/04/2011	28/04/2012	1207.6	22.44474462	66.7402957	1356.94	6852.24
2012	1291	2.37	ALTO	A	RB855453	0	LR.1	86.64	APARECIDA	23/04/2011	28/04/2012	1207.6	22.44474462	66.7402957	1356.94	6852.24
2012	1293	2.36	ALTO	A	CTC7	0	LR.1	87.37	APARECIDA	20/10/2011	28/04/2012	935.2	23.99619792	70.67973958	799.2	3837.23
2012	1754	2.32	ALTO	A	CTC19	0	LR.1	97.93	APARECIDA	19/08/2011	04/11/2012	1569.5	22.68618243	66.02060811	1665.07	8124.44
2012	1290	2.31	ALTO	B	RB855453	0	LR.2	81.14	APARECIDA	26/04/2011	28/04/2012	1207.6	22.4350271	66.7097832	1347.75	6803.14
2012	1684	2.3	ALTO	D	CTC2	0	LVE.5	95.65	APARECIDA	23/05/2011	17/10/2012	1575.9	21.94550584	65.72470817	1801.92	9109.52
2012	1774	2.3	ALTO	B	SP91-1049	0	LR.2	89.19	APARECIDA	23/04/2011	18/11/2012	1723	22.07774306	66.05793403	2028.87	10217.93
2012	1766	2.21	ALTO	B	RB855156	0	LVE.2	72.15	APARECIDA	29/07/2011	01/06/2012	1281.1	23.0781068	67.2436246	1197.84	5837.39
2012	1750	2.18	ALTO	A	RB855453	0	LR.1	83.28	APARECIDA	16/05/2011	18/06/2012	1357.2	22.1235375	67.55405	1407.86	7164.5
2012	1778	2.15	ALTO	A	SP80-3280	0	LR.1	83.51	APARECIDA	22/09/2011	08/09/2012	1418.8	22.4053966	68.57252125	1276.65	6359.79
2012	1739	2.14	ALTO	D	IAC87-3396	0	LVE.5	59.52	APARECIDA	16/05/2011	10/06/2012	1356.7	22.15788265	67.42892857	1389.46	7051.57
2012	1753	2.09	ALTO	A	CTC2	0	LR.1	99.18	APARECIDA	29/05/2011	04/11/2012	1623.4	22.1489924	65.62790875	1874.47	9392.48
2012	1735	1.87	ALTO	C	RB855453	821.8	LVE.2A	82.13	APARECIDA	16/05/2011	11/06/2012	1357.2	22.15491094	67.45801527	1391.68	7064.5
2012	1695	1.48	Medio	D	CTC2	1033.2	LVA.8	113.39	APARECIDA	11/08/2011	23/10/2012	1558	22.54823864	65.76531818	1636.46	8029.04
2012	1742	1.42	Medio	C	SP83-2847	1280.3	LVE.7	83.15	APARECIDA	25/05/2011	19/09/2012	1486.4	21.91009298	66.07409091	1680.78	8550.22
2012	1741	1.38	Medio	E	CTC2	1559.6	AQ.2	74.25	APARECIDA	24/04/2011	09/06/2012	1383	22.11547215	67.72535109	1446.01	7366.54
